"";"year";"clasificacion_generador";"combustible";"n";"total"
"1";2016;"Autogenerador";"Hidroeléctrica";2;19300
"2";2016;"Autogenerador";"Petróleo";11;112700
"3";2016;"No Autogenerador";"Bioenergía";136;12560518
"4";2016;"No Autogenerador";"Carbón";1;2250
"5";2016;"No Autogenerador";"Eólica";1;264000
"6";2016;"No Autogenerador";"Gas";4;233000
"7";2016;"No Autogenerador";"Hidroeléctrica";13;1329000
"8";2016;"No Autogenerador";"Petróleo";18;2073750
"9";2017;"Autogenerador";"Bioenergía";1;3500
"10";2017;"Autogenerador";"Hidroeléctrica";2;19300
"11";2017;"Autogenerador";"Petróleo";13;135600
"12";2017;"No Autogenerador";"Bioenergía";146;12988548
"13";2017;"No Autogenerador";"Carbón";2;3950
"14";2017;"No Autogenerador";"Eólica";1;264000
"15";2017;"No Autogenerador";"Gas";6;360000
"16";2017;"No Autogenerador";"Hidroeléctrica";14;1346000
"17";2017;"No Autogenerador";"Petróleo";14;1648050
"18";2017;"No Autogenerador";"Solar";1;9800
"19";2018;"Autogenerador";"Bioenergía";1;3500
"20";2018;"Autogenerador";"Hidroeléctrica";3;24300
"21";2018;"Autogenerador";"Petróleo";15;164540
"22";2018;"Autogenerador";"Solar";1;9800
"23";2018;"No Autogenerador";"Bioenergía";150;13091488
"24";2018;"No Autogenerador";"Carbón";2;3950
"25";2018;"No Autogenerador";"Eólica";1;279000
"26";2018;"No Autogenerador";"Gas";7;443000
"27";2018;"No Autogenerador";"Hidroeléctrica";15;1629000
"28";2018;"No Autogenerador";"Petróleo";15;1678950
"29";2019;"Autogenerador";"Bioenergía";134;12060828
"30";2019;"Autogenerador";"Carbón";2;3950
"31";2019;"Autogenerador";"Eólica";1;279000
"32";2019;"Autogenerador";"Gas";5;316000
"33";2019;"Autogenerador";"Hidroeléctrica";18;1660300
"34";2019;"Autogenerador";"Petróleo";38;2323090
"35";2019;"Autogenerador";"Solar";2;17860
"36";2019;"No Autogenerador";"Bioenergía";16;800200
"37";2019;"No Autogenerador";"Hidroeléctrica";1;1000
"38";2019;"No Autogenerador";"Solar";2;115,8
"39";2020;"Autogenerador";"Bioenergía";134;11161012
"40";2020;"Autogenerador";"Carbón";4;10550
"41";2020;"Autogenerador";"Gas";5;316000
"42";2020;"Autogenerador";"Hidroeléctrica";18;1664300
"43";2020;"Autogenerador";"Petróleo";35;1126590
"44";2020;"Autogenerador";"Solar";6;60560
"45";2020;"No Autogenerador";"Bioenergía";19;1609200
"46";2020;"No Autogenerador";"Carbón";1;500
"47";2020;"No Autogenerador";"Petróleo";5;1536000
"48";2020;"No Autogenerador";"Solar";4;219,3
"49";2021;"Autogenerador";"Bioenergía";134;11161012
"50";2021;"Autogenerador";"Carbón";4;10550
"51";2021;"Autogenerador";"Gas";5;312000
"52";2021;"Autogenerador";"Hidroeléctrica";17;1657900
"53";2021;"Autogenerador";"Petróleo";35;1200290
"54";2021;"Autogenerador";"Solar";11;135220
"55";2021;"No Autogenerador";"Bioenergía";19;1609200
"56";2021;"No Autogenerador";"Carbón";1;500
"57";2021;"No Autogenerador";"Petróleo";6;1675000
"58";2021;"No Autogenerador";"Solar";17;765,7
"59";2022;"Autogenerador";"Bioenergía";142;11805367
"60";2022;"Autogenerador";"Carbón";4;10550
"61";2022;"Autogenerador";"Gas";5;319000
"62";2022;"Autogenerador";"Hidroeléctrica";17;1663900
"63";2022;"Autogenerador";"Petróleo";37;1408380
"64";2022;"Autogenerador";"Solar";25;278660
"65";2022;"No Autogenerador";"Bioenergía";19;1623200
"66";2022;"No Autogenerador";"Carbón";1;500
"67";2022;"No Autogenerador";"Petróleo";6;1670000
"68";2022;"No Autogenerador";"Solar";158;11454,34
"69";2023;"Autogenerador";"Bioenergía";142;12422637
"70";2023;"Autogenerador";"Carbón";4;10550
"71";2023;"Autogenerador";"Gas";5;316000
"72";2023;"Autogenerador";"Hidroeléctrica";17;1675900
"73";2023;"Autogenerador";"Petróleo";35;1079380
"74";2023;"Autogenerador";"Solar";50;486260,4
"75";2023;"No Autogenerador";"Bioenergía";20;1704950
"76";2023;"No Autogenerador";"Carbón";1;500
"77";2023;"No Autogenerador";"Petróleo";7;2225000
"78";2023;"No Autogenerador";"Solar";274;20445,75
